Region,Outdoor Pollution (deaths per 100000),Indoor Pollution (deaths per 100000)
Ghana,37.513133810251226,68.4070002510311
Greece,25.92754233308797,0.2868154524738005
Haiti,18.281961320275045,104.30403521862921
Guyana,47.93045001130831,15.306133666708474
Guinea-Bissau,25.651581075593338,137.34310973576194
Venezuela,34.5539829735941,0.4729808943817693
Guatemala,24.53296276311056,41.75693179687777
Grenada,44.87937981492173,4.461085259237153
Guinea,21.649374365771617,140.1710927023778
Holy See,16.931367019217262,0.1965403424164748
Eritrea,39.42083823429259,94.84387618773856
Estonia,11.793207176994038,3.9326344453577895
Eswatini,47.56772687753571,10.99690220411361
Ethiopia,19.009066662223336,70.59407937480415
Fiji,42.65681992790992,57.963173821819325
Finland,8.439955689496967,0.1321508652169309
Chile,21.626116954734382,2.937137106443011
Chad,34.73034390948821,126.19193205683548
Peru,18.402224990327475,11.875582249500635
India,88.04372833424121,51.027439573267095
Qatar,62.603211247954654,0.003858714142026113
Uruguay,19.35162535586978,1.257980390062146
Saint Lucia,33.999655117017554,5.211432824907389
Saint Kitts and Nevis,11.90933633093127,0.08889686553763029
Uzbekistan,82.0014205946455,23.633506576589685
Poland,31.341608607506668,3.3163593514327903
Philippines,37.152618019294586,70.18225729284613
Andorra,15.79747529775763,0.1656641621247401
Algeria,44.02829676426397,0.1917665033763003
Albania,22.641276304619588,18.28075416622444
Portugal,15.148105220921089,0.6239600691087915
Rwanda,24.24782395425982,74.0428280143675
Romania,31.188863855885256,9.549933083460711
Angola,34.78888101703935,62.19905798803511
Russia,42.82288759314722,0.16336930859751936
